EvseId,Created,ExternalId,DurationSeconds,VolumeKwh,TariffCode,WholesaleCost
NULL,2016-04-04 08:50:24.6133333,896709,3908,6.3500,A2,1.9000
NULL,2016-05-03 09:13:19.7666667,968943,25521,4.1000,A2,1.2300
NL-GFX-EJLZ-J0034-1,2022-09-12 14:05:52.6680000,NLGFX637985560477356905-1497a,32315,6.1900,A2,1.8600
NULL,2016-02-03 22:29:27.2233333,1601755184,10447,8.5000,A2,2.5500
NL-GFX-ENL-GFX-RD00272-2,2022-09-30 14:43:34.5670000,NLGFX638001170150606748-e3d96,28800,2.5300,A2,0.7600
NULL,2016-04-04 08:51:09.0000000,878410,36399,5.7200,A2,1.7200
NL-GFX-EJLZ-J0034-1,2022-08-12 07:31:09.3140000,NLGFX637958859666234261-851b6,301,0.3600,A2,0.1100
NL-GFX-ENL-GFX-RD00265-1,2022-04-14 15:51:11.6230902,NLGFX637855158638773321-83600,32408,6.3000,A2,1.8900
NL-GFX-ENL_GFX_A0017-2,2022-04-26 14:28:54.8715978,NLGFX637865496940561938-27913,30441,11.6300,A2,3.4900
NL-GFX-ENL-GFX-RD00298-1,2022-05-18 15:13:10.9940000,NLGFX637884515053861032-8c01c,32085,8.3200,A2,2.5000
NULL,2016-06-07 14:17:31.6200000,GFX-20160607053812.342,31158,13.9800,A2,4.1900
NL-GFX-ENL-GFX-RD00298-2,2022-10-14 06:38:39.5810000,NLGFX638013206242436587-88baf,5696,3.5100,A2,1.0500
NL-GFX-EJLZ-J0034-1,2022-05-25 15:50:06.1340000,NLGFX637890583358702672-805d3,32270,21.0300,A2,6.3100
NULL,2016-01-04 19:49:54.3633333,1512685270,33855,6.1800,A2,1.8500
NULL,2016-07-06 16:10:52.7533333,GFX-20160706053212.645,38324,3.1900,A2,0.9600
NULL,2016-06-21 15:37:16.9400000,GFX-20160621060555.095,34284,9.9600,A2,2.9900
NL-GFX-ENL-GFX-RD00272-1,2022-05-06 13:52:03.7940000,NLGFX637874146325082996-f8a40,27292,44.8500,A2,13.4600
NL-GFX-ENL_GFX_A0017-1,2022-10-24 13:25:05.7080000,NLGFX638021812141151941-ed032,33491,9.0200,A2,2.7100
NL-GFX-ENL_GFX_A0017-1,2022-09-23 13:10:43.0870000,NLGFX637995117683836307-0434b,23676,37.6020,A2,11.2800
NL-GFX-ENL-GFX-RD00265-2,2022-04-13 10:16:41.5930831,NLGFX637854296553188298-7513b,12146,8.7600,A2,2.6300
NL-GFX-EJLZ-J0034-1,2022-07-20 13:57:09.1890000,NLGFX637938940317114585-4a754,28197,45.9600,A2,13.7900
NL-GFX-ENL_GFX_A0017-1,2022-10-31 14:29:09.4800000,NLGFX638027893952095288-f581f,33954,8.8800,A2,2.6600
NL-GFX-ENL_GFX_A0017-1,2022-04-29 13:06:36.9935778,NLGFX637868072507503102-8acf6,27146,32.0200,A2,9.6100
NULL,2016-05-23 14:48:14.2866667,GFX-20160523053518.309,33174,6.3000,A2,1.8900
NL-GFX-ENL-GFX-RD00274-2,2022-07-13 14:21:48.0880000,NLGFX637932882219161334-e354d,30685,30.4100,A2,9.1200
NL-GFX-ENL-GFX-RD00272-2,2022-11-18 17:21:24.4790000,NLGFX638043519592228010-99cc0,36925,15.3200,A2,4.6000
